flight_number,airline_name,departure_airport,departure_city,departure_country,arrival_airport,arrival_city,duration_hours,departure_time,arrival_time
SA9206,South African Airways,O.R. Tambo International,Johannesburg,South Africa,Cape Town International,Cape Town,12,8/24/2022,2/19/2022
TG2457,Thai Airways,Suvarnabhumi,Bangkok,Thailand,Changi,Singapore,9,10/7/2022,2/19/2022
AV8136,Avianca,El Dorado International,Bogotá,Colombia,O'Hare International,Chicago,19,4/8/2022,4/27/2022
UA7542,United Airlines,Los Angeles International,Los Angeles,USA,San Francisco International,San Francisco,3,6/3/2022,7/21/2022
AF8029,Air France,Charles de Gaulle,Paris,France,Frankfurt Airport,Frankfurt,9,1/30/2022,6/12/2022
AV5603,Avianca,El Dorado International,Bogotá,Colombia,O'Hare International,Chicago,15,11/18/2022,1/26/2022
AM9841,Aeroméxico,Benito Juárez International,Mexico City,Mexico,O'Hare International,Chicago,16,5/30/2022,8/3/2022
DL7845,Delta Air Lines,John F. Kennedy International,New York,USA,Hartsfield-Jackson Atlanta,Atlanta,15,9/15/2022,12/1/2022
LH6305,Lufthansa,Frankfurt Airport,Frankfurt,Germany,Charles de Gaulle,Paris,7,5/7/2022,10/27/2022
AI1476,Air India,Indira Gandhi International,Delhi,India,Chhatrapati Shivaji International,Mumbai,2,3/16/2022,10/14/2022
SK5206,SAS Scandinavian,Copenhagen Airport,Copenhagen,Denmark,Charles de Gaulle,Paris,13,9/29/2022,11/3/2022
KE7505,Korean Air,Incheon International,Seoul,South Korea,Haneda,Tokyo,17,12/5/2022,4/6/2022
SK6623,SAS Scandinavian,Copenhagen Airport,Copenhagen,Denmark,Leonardo da Vinci International,Rome,20,6/30/2022,3/1/2022
CX3392,Cathay Pacific,Hong Kong International,Hong Kong,China,Changi,Singapore,15,3/31/2022,10/4/2022
AI8330,Air India,Indira Gandhi International,Delhi,India,Chhatrapati Shivaji International,Mumbai,18,6/9/2022,12/29/2022
AV9075,Avianca,El Dorado International,Bogotá,Colombia,O'Hare International,Chicago,12,6/6/2022,9/25/2022
BA6452,British Airways,Heathrow,London,UK,Charles de Gaulle,Paris,5,8/20/2022,9/15/2022
CX5757,Cathay Pacific,Hong Kong International,Hong Kong,China,Changi,Singapore,18,10/6/2022,7/18/2022
AC4336,Air Canada,Toronto Pearson,Toronto,Canada,John F. Kennedy International,New York,24,12/10/2022,10/13/2022
SK4469,SAS Scandinavian,Copenhagen Airport,Copenhagen,Denmark,Charles de Gaulle,Paris,10,10/21/2022,10/21/2022
QF5533,Qantas,Sydney Airport,Sydney,Australia,Melbourne Airport,Melbourne,2,4/1/2022,7/20/2022
LA8013,LATAM Airlines,São Paulo/Guarulhos International,São Paulo,Brazil,Changi,Singapore,24,7/1/2022,8/11/2022
AC5567,Air Canada,Toronto Pearson,Toronto,Canada,John F. Kennedy International,New York,21,5/2/2022,8/9/2022
IB3593,Iberia,Adolfo Suárez Madrid–Barajas,Madrid,Spain,Toronto Pearson,Toronto,16,12/4/2022,7/9/2022
KE3686,Korean Air,Incheon International,Seoul,South Korea,Haneda,Tokyo,15,6/15/2022,12/14/2022
NZ9098,Air New Zealand,Auckland Airport,Auckland,New Zealand,Ministro Pistarini International,Buenos Aires,9,6/25/2022,1/25/2022
SA8880,South African Airways,O.R. Tambo International,Johannesburg,South Africa,Charles de Gaulle,Paris,6,9/10/2022,9/6/2022
IB7229,Iberia,Adolfo Suárez Madrid–Barajas,Madrid,Spain,Frankfurt Airport,Frankfurt,20,6/28/2022,1/22/2022
IB1460,Iberia,Adolfo Suárez Madrid–Barajas,Madrid,Spain,Charles de Gaulle,Paris,9,12/15/2022,11/13/2022
AC7769,Air Canada,Toronto Pearson,Toronto,Canada,Miami International,Miami,7,12/6/2022,10/18/2022
UA7495,United Airlines,Los Angeles International,Los Angeles,USA,San Francisco International,San Francisco,23,12/7/2022,2/13/2022
QF4484,Qantas,Sydney Airport,Sydney,Australia,Melbourne Airport,Melbourne,15,11/22/2022,7/5/2022
NH8525,All Nippon Airways,Haneda,Tokyo,Japan,Melbourne Airport,Melbourne,12,7/26/2022,5/9/2022
SQ2855,Singapore Airlines,Changi,Singapore,Singapore,Beijing Capital International,Beijing,4,2/9/2022,7/29/2022
SA4382,South African Airways,O.R. Tambo International,Johannesburg,South Africa,Charles de Gaulle,Paris,3,10/23/2022,3/13/2022
IB8675,Iberia,Adolfo Suárez Madrid–Barajas,Madrid,Spain,Charles de Gaulle,Paris,5,12/8/2022,1/30/2022
